epoch,loss,sel_acc_2,val_loss,val_sel_acc_2
0,0.0551782064139843,0.9025037884712219,0.04593423008918762,0.9244334101676941
1,0.0400724820792675,0.9306588172912598,0.04132980480790138,0.9242259860038757
2,0.038367290049791336,0.9332086443901062,0.040720388293266296,0.9367003440856934
3,0.04099027439951897,0.9260877370834351,0.05410410836338997,0.9253485202789307
4,0.03703320771455765,0.9352114200592041,0.0798669382929802,0.9311013221740723
5,0.036874573677778244,0.9353721737861633,0.038431692868471146,0.9320300817489624
6,0.03613604977726936,0.9367572665214539,0.05130205675959587,0.9391100406646729
7,0.03691503405570984,0.9349221587181091,0.16832996904850006,0.8532386422157288
8,0.03668087348341942,0.9352490305900574,0.09446945041418076,0.9383541345596313
9,0.03629458695650101,0.9361380934715271,0.037418585270643234,0.937731921672821
10,0.03682263568043709,0.9350916743278503,0.03867412358522415,0.9366821646690369
11,0.03654608502984047,0.935691773891449,0.039827167987823486,0.9339694976806641
12,0.036217786371707916,0.9367794394493103,0.035939835011959076,0.9361836314201355
13,0.03723859414458275,0.9342920780181885,0.03992146626114845,0.9354168176651001
14,0.03598395362496376,0.9367591142654419,0.04559776932001114,0.9399878978729248
15,0.03620412200689316,0.9366565942764282,0.044593263417482376,0.9302980303764343
16,0.03585384413599968,0.9373637437820435,0.04957251623272896,0.9373898506164551
17,0.036028824746608734,0.9376021027565002,0.042780499905347824,0.9401316046714783
18,0.03578466176986694,0.9378861784934998,0.061609286814928055,0.9359380602836609
19,0.03601076453924179,0.9375535845756531,0.04289053753018379,0.9305809736251831
20,0.03561662137508392,0.9382573366165161,0.04295291379094124,0.9360517263412476
21,0.03667287901043892,0.9364743828773499,0.036980174481868744,0.9396986365318298
22,0.0359601266682148,0.9376939535140991,0.04941488429903984,0.9157832860946655
23,0.03550373390316963,0.9385911822319031,0.0378706194460392,0.9404345750808716
24,0.03625822812318802,0.9373018741607666,0.03766287490725517,0.9326504468917847
25,0.036971449851989746,0.9357684850692749,0.03579379990696907,0.9380794167518616
26,0.03560963645577431,0.9386394023895264,0.11735823005437851,0.9091417789459229
27,0.035924363881349564,0.9380335807800293,0.03627878054976463,0.9390009045600891
28,0.03655022382736206,0.9366108179092407,0.037259865552186966,0.9396677017211914
29,0.035553429275751114,0.9385359883308411,0.04742026329040527,0.9371060729026794
30,0.03607353940606117,0.9374167919158936,0.044734470546245575,0.9284723401069641
31,0.03585157170891762,0.9382269978523254,0.03893117234110832,0.9367649555206299
32,0.036666639149188995,0.9361751079559326,0.03573095425963402,0.9351329803466797
33,0.0366450659930706,0.9362448453903198,0.03785007819533348,0.9370869398117065
